n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,231.25,135.45,100,100,200,300,500
2,296.875,112.119,100,200,300,400,500
3,400,186.651,100,275,400,500,900
4,362.5,204.387,100,200,300,425,1100
5,1109.38,793.668,300,700,900,1325,4700
6,543.75,280.481,100,400,500,700,1300
7,550,400,100,300,400,625,2100
8,434.375,229.459,200,275,400,525,1100
9,668.75,384.739,200,375,500,900,1600
10,671.875,556.623,200,300,500,800,2400
11,521.875,440.479,200,300,400,600,2200
12,496.875,407.577,100,300,400,525,2200
13,556.25,437.69,200,275,400,625,2100
14,565.625,431.509,200,300,500,700,2600
15,631.25,393.854,300,400,550,700,2500
