n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,346.875,158.591,100,200,300,400,800
2,353.125,154.47,200,300,300,400,1000
3,259.375,61.4837,100,200,300,300,400
4,318.75,78.0302,200,300,300,400,500
5,534.375,233.638,200,400,500,600,1100
6,406.25,174.018,100,300,400,500,900
7,334.375,135.859,100,200,400,400,600
8,337.5,83.2796,200,300,300,400,500
9,359.375,145.601,100,300,300,400,900
10,434.375,196.106,200,300,400,500,1200
11,396.875,205.543,100,200,400,500,1000
12,465.625,271.922,100,300,400,525,1600
13,403.125,140.24,200,300,400,500,900
14,375,131.982,200,300,400,400,700
15,387.5,189.652,100,300,350,425,1100
16,440.625,215.316,100,300,400,600,1000
17,378.125,251.106,100,275,300,425,1500
18,387.5,121.15,200,300,400,500,600
19,403.125,125.684,100,300,400,500,600
20,393.75,156.447,100,300,400,500,800
21,562.5,259.963,200,400,500,600,1400
22,478.125,136.155,200,400,500,500,800
23,400,200,100,300,400,500,1100
24,453.125,225.738,100,300,400,500,1200
25,462.5,204.387,100,375,400,525,1000
26,425,156.576,100,375,450,500,700
27,506.25,168.365,300,400,500,600,900
28,431.25,203.894,100,300,400,500,900
29,346.875,104.679,200,300,300,400,600
30,500,207.908,200,300,500,600,1100
31,490.625,176.634,200,400,500,600,1000
32,368.75,137.811,100,300,400,425,700
