n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,353.125,191.74,100,200,350,400,1200
2,418.75,149.056,200,375,400,500,800
3,481.25,208.586,200,400,450,600,1200
4,481.25,197.464,200,300,500,525,1100
5,956.25,493.792,400,575,900,1225,2300
6,712.5,312.895,200,475,700,925,1300
7,625,340.777,200,400,500,725,1800
8,596.875,241.613,300,400,600,700,1400
9,746.875,416.579,300,475,750,900,2500
10,743.75,438.426,300,400,650,1000,2200
11,668.75,409.908,300,375,650,900,2400
12,853.125,459.301,300,500,800,1000,2500
13,800,545.953,300,400,700,1100,2700
14,900,614.345,300,500,800,1000,3600
15,1006.25,729.975,400,575,850,1025,3700
