n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,531.25,317.691,200,300,400,700,1400
2,562.5,245.935,200,400,500,700,1000
3,1012.5,778.646,300,500,600,1625,3100
4,1271.88,770.519,400,700,900,1750,2900
5,868.75,426.87,200,475,800,1300,1600
6,587.5,329.956,200,300,600,800,1400
7,665.625,321.899,300,400,650,800,1600
8,646.875,462.8,200,275,600,825,2200
9,678.125,266.076,200,500,700,800,1300
10,700,386.882,200,475,600,900,1700
11,681.25,324.721,200,475,600,800,1400
12,587.5,244.62,300,400,600,725,1200
13,828.125,308.204,300,600,800,1000,1500
14,1275,616.441,500,800,1150,1500,2800
15,1187.5,574.035,300,700,1050,1625,2400
16,659.375,281.539,200,400,700,800,1300
17,812.5,375.671,300,575,800,1000,1900
18,703.125,311.587,300,500,600,900,1700
19,759.375,308.858,300,500,800,900,1400
20,678.125,257.449,300,500,600,900,1300
21,643.75,312.056,300,400,600,800,1600
22,709.375,377.905,200,500,600,800,2400
23,781.25,357.805,300,575,700,925,1500
24,893.75,439.896,400,500,800,1125,2300
25,684.375,370.796,300,400,600,825,1600
26,843.75,399.142,300,600,700,1100,1900
27,1156.25,481.89,400,700,1200,1425,2100
28,1162.5,472.297,400,800,1050,1425,2200
29,1178.12,604.144,300,775,1000,1625,2600
30,918.75,368.465,300,700,900,1200,1600
31,884.375,386.138,300,575,850,1125,1700
32,1446.88,880.244,300,700,1350,2100,3400
33,2068.75,738.978,500,1500,1950,2625,3700
34,1137.5,760.199,300,500,900,1600,3200
35,1881.25,1094.4,400,900,1850,2600,4500
36,993.75,430.257,400,600,950,1225,2000
37,1134.38,512.81,300,775,1050,1525,2500
38,1109.38,453.203,300,850,1150,1400,2000
39,1115.62,582.602,400,700,900,1500,2700
40,800,418.908,300,400,700,1000,1800
41,721.875,316.976,300,475,700,900,1500
42,759.375,396.647,300,400,700,925,1800
43,793.75,594.023,300,475,700,900,3600
44,684.375,285.238,200,400,700,900,1100
45,762.5,417.172,300,400,600,1000,1800
46,821.875,443.399,300,500,700,1100,1900
47,662.5,371.353,300,375,650,800,1900
48,668.75,301.006,300,400,600,800,1300
49,678.125,326.007,300,400,600,900,1600
50,728.125,309.249,300,475,750,1000,1300
51,725,384.372,300,500,650,825,2100
52,696.875,438.829,200,400,600,800,2000
53,865.625,461.141,300,575,800,1000,2100
54,915.625,374.26,300,600,900,1200,1600
55,1118.75,517.711,300,700,1100,1300,2500
56,681.25,278.75,300,500,700,900,1300
57,718.75,313.603,300,500,600,925,1600
58,978.125,484.425,200,675,1000,1225,2400
59,1646.88,729.995,400,1100,1600,2000,3600
60,1596.88,572.197,400,1300,1600,1875,2800
61,756.25,474.469,300,400,650,925,2500
62,806.25,373.249,200,500,850,925,1700
63,646.875,306.893,300,475,600,700,1900
64,659.375,216.809,300,500,650,800,1300
65,653.125,291.807,200,400,650,800,1500
66,706.25,269.931,300,500,700,825,1400
67,631.25,297.774,200,400,650,800,1300
68,781.25,264.499,300,600,700,900,1400
69,715.625,266.53,300,575,700,900,1200
70,703.125,290.144,300,475,700,900,1500
71,825,481.932,300,400,600,1025,2000
72,700,263.965,300,500,650,825,1300
73,584.375,255.405,200,400,500,700,1100
74,1112.5,1037.91,300,600,800,1025,5000
75,1621.88,1403.85,200,375,1150,2550,5400
76,756.25,763.666,200,400,600,725,4700
77,850,541.801,300,575,700,1000,3300
78,731.25,312.573,200,500,700,925,1400
79,790.625,306.236,300,600,750,900,1500
80,796.875,335.515,300,575,750,925,1600
81,734.375,263.487,300,600,700,800,1400
82,690.625,236.042,300,575,700,800,1200
83,743.75,262.663,300,600,700,900,1400
84,662.5,239.287,300,475,700,800,1100
85,712.5,272.089,300,575,700,925,1400
86,715.625,297.418,300,500,700,900,1600
87,756.25,397.523,300,500,650,850,1900
88,715.625,268.94,300,575,700,800,1300
89,718.75,277.59,300,500,700,800,1400
90,668.75,272.903,200,500,600,800,1400
91,696.875,304.254,300,500,650,800,1800
92,800,350.115,300,500,700,1000,1600
93,656.25,199.899,300,500,650,800,1100
94,693.75,255.188,300,600,700,800,1300
95,756.25,371.516,300,400,750,1025,1800
96,781.25,355.09,300,500,800,900,1800
97,796.875,323.772,300,600,800,900,1600
98,640.625,246.078,200,500,650,800,1400
99,768.75,263.277,300,575,800,1000,1300
100,103.125,64.6797,0,100,100,100,200
