n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,138266,10330.1,122400,129475,138100,144625,159800
2,147334,22751.7,127100,130950,145100,153275,245600
3,162597,20994.7,138000,150675,158100,169700,233900
4,206162,38924.4,156000,178750,194800,234025,307600
5,258638,65194.5,196100,210875,226800,316450,403700
6,427162,133977,313200,332650,374150,458050,766100
7,836241,323772,507500,568675,615950,1.15818e+06,1.429e+06
8,1.3125e+06,491585,899800,920700,1.06595e+06,1.66352e+06,2.4004e+06
9,2.67989e+06,796375,2.0757e+06,2.12468e+06,2.3001e+06,2.9752e+06,5.4129e+06
10,4.77703e+06,804233,4.0083e+06,4.18625e+06,4.54035e+06,5.16458e+06,7.2613e+06
11,9.06619e+06,1.09183e+06,7.8878e+06,8.07928e+06,9.0714e+06,9.59108e+06,1.231e+07
12,2.22237e+07,1.66751e+06,1.96532e+07,2.09461e+07,2.18912e+07,2.35463e+07,2.65154e+07
13,4.33755e+07,2.58898e+06,3.98659e+07,4.19796e+07,4.27152e+07,4.45175e+07,5.0971e+07
14,8.63905e+07,4.0876e+06,7.95073e+07,8.30768e+07,8.59972e+07,8.80603e+07,9.71299e+07
15,2.19192e+08,9.3381e+06,2.05572e+08,2.13673e+08,2.17794e+08,2.24454e+08,2.42543e+08
