n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,131606,12286.4,114400,124025,129200,136775,180800
2,131628,10541.6,119000,124125,130600,136750,163700
3,134069,15872.3,116300,123150,129950,140000,192600
4,151334,34050.4,118000,131675,138150,162375,258900
5,145369,26290.3,119000,128550,140400,146825,223900
6,141859,25269.1,119600,123925,130250,154725,244300
7,133831,12908.7,118700,123650,132400,139300,177300
8,137934,13103.6,117000,128450,134550,143675,170300
9,131941,11663.3,117300,122950,129800,136375,165200
10,141300,15459.8,120200,128275,138200,151625,172700
11,134972,10865.5,117200,126350,135500,141125,169400
12,136478,12218.9,120400,125900,135450,144625,163800
13,135653,13897.2,113600,125175,131450,143750,169700
14,133653,10197.9,119800,126375,131550,139650,161200
15,134631,15117.8,118300,125950,130350,139500,180900
16,135066,19496.9,117700,123250,128650,141275,199400
17,135094,11924.4,117200,127000,133400,140625,177300
18,138875,19273.4,119000,123475,133700,143450,206300
19,156147,30052.3,120700,130075,146250,184625,217700
20,136094,29457.7,116700,121525,127400,138700,273300
21,135669,12173.5,117200,127775,132950,144325,162800
22,137534,25604.5,118000,125975,133400,138250,266800
23,140262,20715.4,119300,125825,134700,145375,209000
24,133891,11539.8,118500,122600,131600,143475,159600
25,151109,29476.5,120500,130200,145000,160950,272100
26,133709,15401.2,116900,122325,130250,140725,173100
27,134259,15624.3,115500,125175,131150,141125,183600
28,134322,13234,116400,124000,134000,140000,169900
29,134244,14677,115700,123425,131650,138200,170400
30,136588,18404.8,116800,123475,131550,145575,190400
31,134500,15907.9,119400,123950,128200,142075,191600
32,137162,10345.3,121700,129700,137250,143600,162600
